Neighborhood,NumberofFloors,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SiteEnergyUse(kBtu),ratio_steam,ratio_electricity,ratio_gas,flag_datacenter,flag_laboratory,flag_office,flag_downtown,flag_greatduw,flag_lakeu,outlier
6,2,137138,41,138602.0,5475367.0,0.0,0.9999998173638406,0.0,False,False,False,False,True,False,False
13,6,146363,28,146363.0,11730555.0,0.0,0.548869256399207,0.45113065835333455,False,False,False,False,False,False,False
13,1,67263,26,67263.0,14697487.0,0.0,0.6308866951200569,0.36911316880225853,False,False,False,False,False,False,True
5,2,70292,22,70292.0,1933811.625,0.0,0.5055978500491225,0.4944018267549715,False,False,False,False,False,False,False
1,7,55559,24,60000.0,41680640.0,0.0,0.9999998560482757,0.0,True,False,False,True,False,False,True
4,8,225581,25,172793.0,41696464.0,0.0,0.5854262366228464,0.4145736674457575,False,True,False,False,False,True,True
10,2,35780,8,38000.0,2912264.0,0.0,0.7671742671680865,0.2328257328319136,False,False,False,False,False,False,False
7,3,76844,11,83533.0,1363191.625,0.0,1.0000002750897181,0.0,False,False,True,False,False,False,False
1,3,47673,11,47000.0,2502131.0,0.0,0.9770067994041879,0.02299320059581213,False,False,True,True,False,False,False
9,2,48925,8,63500.0,1662054.125,0.0,0.8329349683482781,0.14855533059129467,False,False,False,False,False,False,False
7,1,29000,7,25100.0,2429214.0,0.0,0.6605877456658821,0.3394122543341179,False,False,False,False,False,False,False
6,7,187027,11,191333.0,4581493.0,0.0,0.9514573087855859,0.04854247294495485,False,False,True,False,True,False,True
6,2,56988,10,24520.0,544172.375,0.0,0.5085373912999535,0.49146191958016977,False,False,False,False,True,False,False
12,2,44162,44,44162.0,1546484.875,0.0,0.6166468327082734,0.38335324812019256,False,False,False,False,False,False,False
2,1,53775,32,35361.0,12095818.0,0.0,0.33130467075480136,0.6686952465719971,False,False,False,False,False,False,False
10,2,64820,11,37668.0,2274296.75,0.0,0.8709360377004453,0.12906363252728564,False,False,True,False,False,False,False
10,2,99765,9,99765.0,3185005.25,0.0,0.6455166753649778,0.35448324614221594,False,False,False,False,False,False,False
10,3,428347,9,472384.0,37022180.0,0.3661647963464064,0.5923643070181173,0.041470842613806104,False,False,False,False,False,False,True
